last_name,name_suffix,first_name,middle_name,party,title,district,website,twitter_id,youtube_id,facebook_id,bioguide_id
Smith,,Jason,T.,R,Rep,8,http://jasonsmith.house.gov,RepJasonSmith,RepJasonSmith,544741092252764,S001195
Wagner,,Ann,,R,Rep,2,http://wagner.house.gov,RepAnnWagner,,215485388588143,W000812
Luetkemeyer,,Blaine,,R,Rep,3,http://luetkemeyer.house.gov,RepBlainePress,BLuetkemeyer,1358702716,L000569
Long,,Billy,,R,Rep,7,http://long.house.gov,USRepLong,MOdistrict7,139631049438354,L000576
Hartzler,,Vicky,,R,Rep,4,http://hartzler.house.gov,RepHartzler,repvickyhartzler,183580061667324,H001053
Graves,,Sam,B.,R,Rep,6,https://graves.house.gov,RepSamGraves,,118514606128,G000546
Cleaver,II,Emanuel,,D,Rep,5,http://cleaver.house.gov,RepCleaver,repcleaver,7954512692,C001061
Clay,Jr.,Wm.,Lacy,D,Rep,1,http://lacyclay.house.gov,,WilliamLacyClay,109135405838588,C001049
Blunt,,Roy,,R,Sen,,http://www.blunt.senate.gov,RoyBlunt,SenatorBlunt,142473042477322,B000575
McCaskill,,Claire,,D,Sen,,http://www.mccaskill.senate.gov,McCaskillOffice,SenatorMcCaskill,131498087618,M001170
