last_name,suffixes,first_name,middle_name,party,chamber,district,email,url,photo_url,leg_id,updated_at
Taylor,,Jered,,Republican,lower,139,Jered.Taylor@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=147,http://www.house.mo.gov/MemberPhoto.aspx?id=1806,MOL000396,2016-02-25 07:33:16
Shaul,,Dan,,Republican,lower,113,Dan.Shaul@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=114,http://www.house.mo.gov/MemberPhoto.aspx?id=1792,MOL000403,2016-02-25 07:33:23
Hansen,,Jim,,Republican,lower,40,Jim.Hansen@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=95,http://www.house.mo.gov/MemberPhoto.aspx?id=659,MOL000266,2016-02-25 07:33:23
Rone,,Don,,Republican,lower,149,Don.Rone@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=34,http://www.house.mo.gov/MemberPhoto.aspx?id=1800,MOL000394,2016-02-25 07:33:22
Arthur,,Lauren,,Democratic,lower,18,Lauren.Arthur@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=1,http://www.house.mo.gov/MemberPhoto.aspx?id=1810,MOL000404,2016-02-25 07:33:21
Adams,,Joe,,Democratic,lower,86,Joe.Adams@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016,http://www.house.mo.gov/MemberPhoto.aspx?id=1780,MOL000397,2016-02-25 07:33:23
Green,,Alan,,Democratic,lower,67,Alan.Green@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=77,http://www.house.mo.gov/MemberPhoto.aspx?id=1798,MOL000377,2016-02-25 07:33:23
Vescovo,,Rob,,Republican,lower,112,Rob.Vescovo@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=139,http://www.house.mo.gov/MemberPhoto.aspx?id=1793,MOL000392,2016-02-25 07:33:19
Roeber,,Rebecca,,Republican,lower,34,Rebecca.Roeber@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=111,http://www.house.mo.gov/MemberPhoto.aspx?id=1790,MOL000405,2016-02-25 07:33:23
Runions,,Joe,,Democratic,lower,37,Joe.Runions@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=29,http://www.house.mo.gov/MemberPhoto.aspx?id=693,MOL000341,2016-02-25 07:33:18
McDonald,,Tom,,Democratic,lower,28,Tom.McDonald@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=150,http://www.house.mo.gov/MemberPhoto.aspx?id=379,MOL000128,2016-02-25 07:33:22
Phillips,,Don,,Republican,lower,138,Don.Phillips@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=33,http://www.house.mo.gov/MemberPhoto.aspx?id=732,MOL000146,2016-02-25 07:33:16
Mims,,Bonnaye,,Democratic,lower,27,Bonnaye.Mims@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=124,http://www.house.mo.gov/MemberPhoto.aspx?id=653,MOL000309,2016-02-25 07:33:22
Rehder,,Holly,,Republican,lower,148,,http://www.house.mo.gov/member.aspx?year=2016&district=4,http://www.house.mo.gov/MemberPhoto.aspx?id=657,MOL000330,2016-02-25 07:33:21
Haahr,,Elijah,,Republican,lower,134,Elijah.Haahr@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=67,http://www.house.mo.gov/MemberPhoto.aspx?id=673,MOL000263,2016-02-25 07:33:22
Kendrick,,Kip,,Democratic,lower,45,Kip.Kendrick@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=127,http://www.house.mo.gov/MemberPhoto.aspx?id=1802,MOL000398,2016-02-25 07:33:23
Lynch,,Steve,,Republican,lower,122,Steve.Lynch@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=125,http://www.house.mo.gov/MemberPhoto.aspx?id=685,MOL000295,2016-02-25 07:33:23
Miller,,Rocky,,Republican,lower,124,Rocky.Miller@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=130,http://www.house.mo.gov/MemberPhoto.aspx?id=684,MOL000308,2016-02-25 07:33:19
Burns,,Bob,,Democratic,lower,93,Bob.Burns@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=133,http://www.house.mo.gov/MemberPhoto.aspx?id=686,MOL000223,2016-02-25 07:33:23
Hicks,,Ron,,Republican,lower,107,Ron.Hicks@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=118,http://www.house.mo.gov/MemberPhoto.aspx?id=690,MOL000268,2016-02-25 07:33:21
Morris,,Lynn,,Republican,lower,140,Lynn.Morris@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=24,http://www.house.mo.gov/MemberPhoto.aspx?id=667,MOL000314,2016-02-25 07:33:23
Hubbard,,Penny,,Democratic,lower,78,Penny.Hubbard@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=43,http://www.house.mo.gov/MemberPhoto.aspx?id=496,MOL000097,2016-02-25 07:33:23
Walker,,Nate,,Republican,lower,3,Nate.Walker@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=112,http://www.house.mo.gov/MemberPhoto.aspx?id=644,MOL000359,2016-02-25 07:33:21
Rowden,,Caleb,,Republican,lower,44,Caleb.Rowden@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=142,http://www.house.mo.gov/MemberPhoto.aspx?id=661,MOL000339,2016-02-25 07:33:23
Peters,,Joshua,,Democratic,lower,76,Joshua.Peters@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=105,http://www.house.mo.gov/MemberPhoto.aspx?id=726,MOL000372,2016-02-25 07:33:23
Wilson,,Kenneth,,Republican,lower,12,Ken.Wilson@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=103,http://www.house.mo.gov/MemberPhoto.aspx?id=646,MOL000365,2016-02-25 07:33:23
